Code,Indicator Name,Short definition,Long definition,Source,Topic,Periodicity,Base Period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes
UIS.SLE.12.M,"School life expectancy, primary and lower secondary, male (years)",,"Number of years a person of school entrance age can expect to spend within the specified levels of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.123,"School life expectancy, primary and secondary, both sexes (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.123.F,"School life expectancy, primary and secondary, female (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.123.GPI,"School life expectancy, primary and secondary, gender parity index (GPI)",,"Ratio of female school life expectancy to the male school life expectancy. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.123.M,"School life expectancy, primary and secondary, male (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.23,"School life expectancy, secondary, both sexes (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.23.F,"School life expectancy, secondary, female (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.23.GPI,"School life expectancy, secondary, gender parity index (GPI)",,"Ratio of female school life expectancy to the male school life expectancy. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SLE.23.M,"School life expectancy, secondary, male (years)",,"Number of years a person of school entrance age can expect to spend within the specified level of education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrolment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. A relatively high SLE indicates greater probability for children to spend more years in education and higher overall retention within the education system. It must be noted that the expected number of years does not necessarily coincide with the expected number of grades of education completed, because of repetition. Since school life expectancy is an average based on participation in different levels of education, the expected number of years of schooling may be pulled down by the magnitude of children who never go to school. Those children who are in school may benefit from many more years of education than the average.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SR.2.GPV.GLAST.CP.T,"Survival rate to the last grade of lower secondary general education, both sexes (%)",,"Percentage of a cohort of students enrolled in the first grade of lower secondary education in a given school year who are expected to reach the last grade of lower secondary education, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of lower secondary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of lower secondary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SR.2.GPV.GLAST.CP.F,"Survival rate to the last grade of lower secondary general education, female (%)",,"Percentage of a cohort of female students enrolled in the first grade of lower secondary education in a given school year who are expected to reach the last grade of lower secondary education, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of lower secondary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of lower secondary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SR.2.GPV.GLAST.GPI,"Survival rate to the last grade of lower secondary general education, gender parity index (GPI)",,"Ratio of female survival rate to the last grade of lower secondary education to the male survival rate to the last grade of lower secondary education. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.SR.2.GPV.GLAST.CP.M,"Survival rate to the last grade of lower secondary general education, male (%)",,"Percentage of a cohort of male students enrolled in the first grade of lower secondary education in a given school year who are expected to reach the last grade of lower secondary education, regardless of repetition. Divide the total number of students belonging to a school-cohort who reached each successive grade of lower secondary education by the number of students in the school-cohort i.e. those originally enrolled in the first grade of lower secondary education, and multiply the result by 100. The survival rate is calculated on the basis of the reconstructed cohort method, which uses data on enrolment and repeaters for two consecutive years.",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.DURS.LO,Theoretical duration of lower secondary education (years),,Number of grades (years) in lower secondary education.,UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.DURS,Theoretical duration of secondary education (years),,Number of grades (years) in secondary education (ISCED 2 and 3).,UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.SEC.DURS.UP,Theoretical duration of upper secondary education (years),,Number of grades (years) in upper secondary education.,UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NERT.3,"Total net enrolment rate, upper secondary, both sexes (%)","Total number of students of the official age group for upper secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding population. Divide the total number of students in the official school age range for upper secondary education who are enrolled in any level of education by the population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for upper secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Total number of students of the official age group for upper secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding population. Divide the total number of students in the official school age range for upper secondary education who are enrolled in any level of education by the population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for upper secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. For more information, consult the UIS website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NERT.3.F,"Total net enrolment rate, upper secondary, female (%)","Total number of female students of the official age group for upper secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding female population. Divide the total number of female students in the official school age range for upper secondary education who are enrolled in any level of education by the female population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for upper secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Total number of female students of the official age group for upper secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding female population. Divide the total number of female students in the official school age range for upper secondary education who are enrolled in any level of education by the female population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for upper secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. For more information, consult the UIS website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NERT.3.GPI,"Total net enrolment rate, upper secondary, gender parity index (GPI)","Ratio of female total net enrolment rate for upper secondary to the male total net enrolment rate for upper secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Ratio of female total net enrolment rate for upper secondary to the male total net enrolment rate for upper secondary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females. For more information, consult the UIS website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Secondary,,,,,,,,
UIS.NERT.3.M,"Total net enrolment rate, upper secondary, male (%)","Total number of male students of the official age group for upper secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding male population. Divide the total number of male students in the official school age range for upper secondary education who are enrolled in any level of education by the male population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for upper secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. For more information, consult the UIS website: http://www.uis.unesco.org/Education/","Total number of male students of the official age group for upper secondary education who are enrolled in any level of education, expressed as a percentage of the corresponding male population. Divide the total number of male students in the official school age range for upper secondary education who are enrolled in any level of education by the male population of the same age group and multiply the result by 100. The difference between the total NER and the adjusted NER provides a measure of the proportion of children in the official relevant school age group who are enrolled in levels of education below the one intended for their age. The difference between the total NER and the adjusted NER for upper secondary education is due to enrolment in pre-primary or primary education. The total NER should be based on total enrolment of the official relevant school age group in any level of education for all types of schools and education institutions, including public, private and all other institutions that provide organized educational programmes. For more information, consult the UIS website: http://www.uis.unesco.org/Education/",UNESCO Institute for Statistics,Secondary,,,,,,,,
SE.TER.ENRL,"Enrolment in tertiary education, all programmes, both sexes (number)",,The total number of students enrolled at public and private tertiary education institutions.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.ENRL.FE,"Enrolment in tertiary education, all programmes, female (number)",,The total number of female students enrolled at public and private tertiary education institutions.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD,"Graduates from tertiary education, both sexes (number)",,Total number of students successfully completing tertiary education programmes (ISCED 5 to 8) in public and private tertiary education institutions during the reference academic year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE,"Graduates from tertiary education, female (number)",,Total number of female students successfully completing tertiary education programmes (ISCED 5 to 8) in public and private tertiary education institutions during the reference academic year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TOT.ENRR,"Gross enrolment ratio, primary to tertiary, both sexes (%)",,"Total enrollment in primary, secondary and tertiary education, regardless of age, expressed as a percentage of the total population of primary school age, secondary school age, and the five-year age group following on from secondary school leaving. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.GER.1t6.F,"Gross enrolment ratio, primary to tertiary, female (%)",,"Total female enrollment in primary, secondary and tertiary education, regardless of age, expressed as a percentage of the total female population of primary school age, secondary school age, and the five-year age group following on from secondary school leaving. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.GER.1T6.GPI,"Gross enrolment ratio, primary to tertiary, gender parity index (GPI)",,"Ratio of female gross enrolment ratio for primary to tertiary to the male value for the same indicator. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.GER.1t6.M,"Gross enrolment ratio, primary to tertiary, male (%)",,"Total male enrollment in primary, secondary and tertiary education, regardless of age, expressed as a percentage of the total male population of primary school age, secondary school age, and the five-year age group following on from secondary school leaving. GER can exceed 100% due to the inclusion of over-aged and under-aged students because of early or late school entrance and grade repetition.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.ENRR,"Gross enrolment ratio, tertiary, both sexes (%)",,"Total enrollment in tertiary education (ISCED 5 to 8), regardless of age, expressed as a percentage of the total population of the five-year age group following on from secondary school leaving.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.ENRR.FE,"Gross enrolment ratio, tertiary, female (%)",,"Total female enrollment in tertiary education (ISCED 5 to 8), regardless of age, expressed as a percentage of the total female population of the five-year age group following on from secondary school leaving.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.ENR.TERT.FM.ZS,"Gross enrolment ratio, tertiary, gender parity index (GPI)",,"Ratio of female gross enrolment ratio for tertiary to male gross enrolment ratio for tertiary. It is calculated by dividing the female value for the indicator by the male value for the indicator. A GPI equal to 1 indicates parity between females and males. In general, a value less than 1 indicates disparity in favor of males and a value greater than 1 indicates disparity in favor of females.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.ENRR.MA,"Gross enrolment ratio, tertiary, male (%)",,"Total male enrollment in tertiary education (ISCED 5 to 8), regardless of age, expressed as a percentage of the total male population of the five-year age group following on from secondary school leaving.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.GOER.56,"Gross outbound enrolment ratio, all regions, both sexes (%)",,Total number of mobile tertiary students coming from a country/region as a percentage of the population of tertiary student age in their home country.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.MSEP.56,"Inbound mobility rate, both sexes (%)",,"Number of students from abroad studying in a given country, as a percentage of the total tertiary enrollment in that country.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.MSEP.56.F,"Inbound mobility rate, female (%)",,"Number of female students from abroad studying in a given country, as a percentage of the total female tertiary enrollment in that country.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.MSEP.56.M,"Inbound mobility rate, male (%)",,"Number of male students from abroad studying in a given country, as a percentage of the total male tertiary enrollment in that country.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.MENF.56,"Net flow of internationally mobile students (inbound - outbound), both sexes (number)",,Number of tertiary students from abroad (inbound students) studying in a given country minus the number of students at the same level from a given country studying abroad (outbound students).,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.MENFR.56,"Net flow ratio of internationally mobile students (inbound - outbound), both sexes (%)",,"Total number of tertiary students from abroad (inbound students) studying in a given country minus the number of students at the same level of education from that country studying abroad (outbound students), expressed as a percentage of total tertiary enrolment in that country.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.OMR.56,"Outbound mobility ratio, all regions, both sexes (%)",,Number of students from a given country studying abroad as a percentage of the total tertiary enrolment in that country.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FEP.56.foreign,"Percentage of all inbound internationally mobile students in tertiary education in the host country who are female, (%)",,Female share of students who have crossed a national or territorial border for the purposes of education and are now enrolled outside their country of origin.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.PRIV.ZS,Percentage of enrolment in tertiary education in private institutions (%),,"Total number of students in tertiary education enrolled in institutions that are not operated by a public authority but controlled and managed, whether for profit or not, by a private body (e.g., non-governmental organisation, religious body, special interest group, foundation or business enterprise), expressed as a percentage of total number of students enrolled in tertiary education.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FOSGP.5T8.FNON500600700.F,"Percentage of female graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, female (%)","Share of all female tertiary graduates who completed Science, Technology, Engineering and Mathematics programmes in the reference year.","Share of all female tertiary graduates who completed Science, Technology, Engineering and Mathematics programmes in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FOSGP.5T8.F500600700.F,"Percentage of female graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, female (%)","Share of all female tertiary graduates who completed Science, Technology, Engineering and Mathematics programmes in the reference year.","Share of all female tertiary graduates who completed Science, Technology, Engineering and Mathematics programmes in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.AG.FE.ZS,"Percentage of female graduates from tertiary education graduating from Agriculture, Forestry, Fisheries and Veterinary programmes, female (%)","Share of all female tertiary graduates who completed Agriculture, Forestry, Fisheries and Veterinary programmes in the reference year.","Share of all female tertiary graduates who completed Agriculture, Forestry, Fisheries and Veterinary programmes in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.HU.FE.ZS,"Percentage of female graduates from tertiary education graduating from Arts and Humanities programmes, female (%)",Share of all female tertiary graduates who completed humanities and arts programmes in the reference year.,Share of all female tertiary graduates who completed humanities and arts programmes in the reference year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FOSGP.5T8.F400.F,"Percentage of female graduates from tertiary education graduating from Business, Administration and Law programmes, female (%)","Share of all female tertiary graduates who completed Business, Administration and Law programmes in the reference year.","Share of all female tertiary graduates who completed Business, Administration and Law programmes in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.ED.FE.ZS,"Percentage of female graduates from tertiary education graduating from Education programmes, female (%)",,Share of all female tertiary graduates who completed education programmes in the reference year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.EN.FE.ZS,"Percentage of female graduates from tertiary education graduating from Engineering, Manufacturing and Construction programmes, female (%)",,"Share of all female tertiary graduates who completed engineering, manufacturing and construction programmes in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.HL.FE.ZS,"Percentage of female graduates from tertiary education graduating from Health and Welfare programmes, female (%)",,Share of all female tertiary graduates who completed health and welfare programmes in the reference year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FOSGP.5T8.F600.F,"Percentage of female graduates from tertiary education graduating from Information and Communication Technologies programmes, female (%)",Share of all female tertiary graduates who completed Information and Communication Technologies programmes in the reference year.,Share of all female tertiary graduates who completed Information and Communication Technologies programmes in the reference year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.SC.FE.ZS,"Percentage of female graduates from tertiary education graduating from Natural Sciences, Mathematics and Statistics programmes, female (%)","Share of all female tertiary graduates who completed Natural Sciences, Mathematics and Statistics programmes in the reference year.","Share of all female tertiary graduates who completed Natural Sciences, Mathematics and Statistics programmes in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.OT.FE.ZS,"Percentage of female graduates from tertiary education graduating from programmes in unspecified fields, female (%)",,Share of all female tertiary graduates who completed programmes in unspecified fields in the reference year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.SV.FE.ZS,"Percentage of female graduates from tertiary education graduating from Services programmes, female (%)",,Share of all female tertiary graduates who completed services programmes in the reference year.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.SS.FE.ZS,"Percentage of female graduates from tertiary education graduating from Social Sciences, Journalism and Information programmes, female (%)","Share of all female tertiary graduates who completed Social Sciences, Journalism and Information programmes in the reference year.","Share of all female tertiary graduates who completed Social Sciences, Journalism and Information programmes in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.AG.ZS,"Percentage of graduates from Agriculture, Forestry, Fisheries and Veterinary programmes in tertiary education who are female (%)","Number of female graduates in Agriculture, Forestry, Fisheries and Veterinary expressed as a percentage of the total number of tertiary graduates in Agriculture, Forestry, Fisheries and Veterinary.","Number of female graduates in Agriculture, Forestry, Fisheries and Veterinary expressed as a percentage of the total number of tertiary graduates in Agriculture, Forestry, Fisheries and Veterinary.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.HU.ZS,Percentage of graduates from Arts and Humanities programmes in tertiary education who are female (%),Number of female graduates in humanities and arts expressed as a percentage of the total number of tertiary graduates in humanities and arts.,Number of female graduates in humanities and arts expressed as a percentage of the total number of tertiary graduates in humanities and arts.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FGP.5T8.F400,"Percentage of graduates from Business, Administration and Law programmes in tertiary education who are female (%)","Number of female graduates in Business, Administration and Law expressed as a percentage of the total number of tertiary graduates in Business, Administration and Law.","Number of female graduates in Business, Administration and Law expressed as a percentage of the total number of tertiary graduates in Business, Administration and Law.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.ED.ZS,Percentage of graduates from Education programmes in tertiary education who are female (%),,Number of female graduates in education expressed as a percentage of the total number of tertiary graduates in education.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.EN.ZS,"Percentage of graduates from Engineering, Manufacturing and Construction programmes in tertiary education who are female (%)",,"Number of female graduates in engineering, manufacturing and construction expressed as a percentage of the total number of tertiary graduates in engineering, manufacturing and construction.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.HL.ZS,Percentage of graduates from Health and Welfare programmes in tertiary education who are female (%),,Number of female graduates in health and welfare expressed as a percentage of the total number of tertiary graduates in health and welfare.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FGP.5T8.F600,Percentage of graduates from Information and Communication Technologies programmes in tertiary education who are female (%),Number of female graduates in Information and Communication Technologies expressed as a percentage of the total number of tertiary graduates in Information and Communication Technologies.,Number of female graduates in Information and Communication Technologies expressed as a percentage of the total number of tertiary graduates in Information and Communication Technologies.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.SC.ZS,"Percentage of graduates from Natural Sciences, Mathematics and Statistics programmes in tertiary education who are female (%)","Number of female graduates in Natural Sciences, Mathematics and Statistics expressed as a percentage of the total number of tertiary graduates in Natural Sciences, Mathematics and Statistics.","Number of female graduates in Natural Sciences, Mathematics and Statistics expressed as a percentage of the total number of tertiary graduates in Natural Sciences, Mathematics and Statistics.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FGP.5T8.FNON500600700,"Percentage of graduates from other fields than Science, Technology, Engineering and Mathematics programmes in tertiary education who are female (%)","Number of female graduates in fields other than Science, Technology, Engineering and Mathematics expressed as a percentage of the total number of tertiary graduates in those fields. For more information, consult the UNESCO Institute for Statistics website","Number of female graduates in fields other than Science, Technology, Engineering and Mathematics expressed as a percentage of the total number of tertiary graduates in those fields. For more information, consult the UNESCO Institute for Statistics website",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.OT.ZS,Percentage of graduates from programmes in unspecified fields in tertiary education who are female (%),,Number of female graduates in unspecified programmes expressed as a percentage of the total number of graduates in unspecified tertiary programmes.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FOSGP.5T8.FNON500600700,"Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)","Share of all tertiary graduates who completed Science, Technology, Engineering and Mathematics in the reference year.","Share of all tertiary graduates who completed Science, Technology, Engineering and Mathematics in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FGP.5T8.F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education who are female (%)","Number of female graduates in Science, Technology, Engineering and Mathematics expressed as a percentage of the total number of tertiary graduates in Science, Technology, Engineering and Mathematics. For more information, consult the UNESCO Institute for Statistics website.","Number of female graduates in Science, Technology, Engineering and Mathematics expressed as a percentage of the total number of tertiary graduates in Science, Technology, Engineering and Mathematics. For more information, consult the UNESCO Institute for Statistics website.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
UIS.FOSGP.5T8.F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Share of all tertiary graduates who completed Science, Technology, Engineering and Mathematics in the reference year.","Share of all tertiary graduates who completed Science, Technology, Engineering and Mathematics in the reference year.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.SV.ZS,Percentage of graduates from Services programmes in tertiary education who are female (%),,Number of female graduates from services programmes expressed as a percentage of the total number of tertiary graduates from services programmes.,UNESCO Institute for Statistics,Tertiary,,,,,,,,
SE.TER.GRAD.FE.SS.ZS,"Percentage of graduates from Social Sciences, Journalism and Information programmes in tertiary education who are female (%)","Number of female graduates in Social Sciences, Journalism and Information expressed as a percentage of the total number of tertiary graduates in Social Sciences, Journalism and Information.","Number of female graduates in Social Sciences, Journalism and Information expressed as a percentage of the total number of tertiary graduates in Social Sciences, Journalism and Information.",UNESCO Institute for Statistics,Tertiary,,,,,,,,
